Toll Name,Fee Effective Date,Ca/Jeep/Van,LCV,Bus Truck,Up To 3 Axle,Four To Six,HCM,Seven Or More,Revision Date
Hattargi,01-Apr-21,30.00;45.00;980.00;15.00,45.00;70.00;1580.00;25.00,100.00 ;150.00;3310.00;50.00,110.00 ;160.00;3610.00;55.00,155.00 ;235.00;5190.00;80.00,155.00 ;235.00;5190.00;80.00,190.00 ;285.00;6315.00;95.00,
Kannolli,01-Apr-21,55.00;85.00;1905.00;30.00,90.00;140.00;3075.00;45.00,195.00 ;290.00;6445.00;95.00,210.00 ;315.00;7030.00;105.00,305.00 ;455.00;10105.00;150.00,305.00 ;455.00;10105.00;150.00,370.00 ;555.00;12305.00;185.00,
Harval,01-Apr-21,70.00;110.00;2410.00;35.00,115.00;175.00;3895.00;60.00,245.00 ;365.00;8160.00;120.00,265.00 ;400.00;8905.00;135.00,385.00 ;575.00;12800.00;190.00,385.00 ;575.00;12800.00;190.00,465.00 ;700.00;15580.00;235.00,
Guilalu,01-Apr-21,70.00;105.00;2350.00;NA,115.00;170.00;3790.00;NA,240.00 ;360.00;7945.00;NA,375.00 ;560.00;12460.00;NA,375.00 ;560.00;12460.00;NA,375.00 ;560.00;12460.00;NA,455.00 ;685.00;15170.00;NA,
Bankapur,25-Feb-2018          ,55.00;80.00;1795.00;25.00,85.00;130.00;2905.00;45.00,180.00 ;275.00;6080.00;90.00,200.00 ;300.00;6635.00;100.00,285.00 ;430.00;9540.00;145.00,285.00 ;430.00;9540.00;145.00,350.00 ;525.00;11610.00;175.00,04-May-21
Gundmi,01-Apr-21,45.00;70.00;1555.00;NA,75.00;115.00;2510.00;NA,160.00 ;235.00;5260.00;NA,245.00 ;370.00;8245.00;NA,245.00 ;370.00;8245.00;NA,245.00 ;370.00;8245.00;NA,300.00 ;450.00;10040.00;NA,
Brahamarakotlu,01-Apr-21,25.00;40.00;895.00;15.00,45.00;65.00;1445.00;20.00,90.00 ;135.00;3025.00;45.00,100.00 ;150.00;3300.00;50.00,140.00 ;215.00;4745.00;70.00,140.00 ;215.00;4745.00;70.00,175.00 ;260.00;5775.00;85.00,
Belekeri,01-Apr-21,80.00;120.00;2715.00;40.00,125.00;190.00;4245.00;65.00,260.00 ;390.00;8710.00;130.00,285.00 ;430.00;9535.00;145.00,400.00 ;600.00;13365.00;200.00,400.00 ;600.00;13365.00;200.00,510.00 ;765.00;16970.00;255.00,
Gaddurur,01-Apr-21,25.00;40.00;915.00;15.00,45.00;65.00;1475.00;20.00,95.00 ;140.00;3095.00;45.00,100.00 ;150.00;3375.00;50.00,145.00 ;220.00;4850.00;75.00,145.00 ;220.00;4850.00;75.00,175.00 ;265.00;5905.00;90.00,
Tand Balidih,01-Apr-21,35.00;50.00;1130.00;15.00,55.00;80.00;1825.00;25.00,115.00 ;170.00;3820.00;55.00,125.00 ;190.00;4165.00;65.00,180.00 ;270.00;5990.00;90.00,180.00 ;270.00;5990.00;90.00,220.00 ;330.00;7290.00;110.00,
Sosokhurd,01-Apr-21,40.00;65.00;1400.00;20.00,70.00;100.00;2265.00;35.00,140.00 ;215.00;4740.00;70.00,155.00 ;235.00;5170.00;80.00,225.00 ;335.00;7435.00;110.00,225.00 ;335.00;7435.00;110.00,270.00 ;405.00;9050.00;135.00,
Doddakarenahalli (Neelmangala ),01-Sep-19,45.00;65.00;1350.00;NA,80.00;120.00;2360.00;NA,155.00 ;235.00;4725.00;NA,255.00 ;380.00;7590.00;NA,255.00 ;380.00;7590.00;NA,255.00 ;380.00;7590.00;NA,,
Pundag,01-Apr-21,105.00;160.00;3525.00;55.00,170.00;260.00;5735.00;85.00,360.00 ;540.00;11980.00;180.00,395.00 ;590.00;13100.00;195.00,565.00 ;845.00;18830.00;280.00,565.00 ;845.00;18830.00;280.00,685.00 ;1030.00;22900.00;345.00,
Ghanghri,01-Apr-21,105.00;155.00;3415.00;50.00,165.00;250.00;5520.00;85.00,345.00 ;520.00;11565.00;175.00,380.00 ;570.00;12615.00;190.00,545.00 ;815.00;18135.00;270.00,545.00 ;815.00;18135.00;270.00,660.00 ;995.00;22075.00;330.00,
Chalageri,26-Jan-2018          ,75.00;115.00;2545.00;40.00,125.00;185.00;4110.00;60.00,260.00 ;390.00;8615.00;130.00,280.00 ;425.00;9395.00;140.00,405.00 ;610.00;13510.00;205.00,540.00 ;810.00;18010.00;270.00,495.00 ;740.00;16445.00;245.00,04-May-21
Attibele (BETL),01-Jul-20,30.00;45.00;870.00;NA,50.00;75.00;1455.00;NA,95.00 ;145.00;2905.00;NA,,,205.00 ;305.00;6105.00;NA,,
Mada,01-Apr-21,70.00;100.00;2265.00;35.00,110.00;165.00;3660.00;55.00,230.00 ;345.00;7670.00;115.00,250.00 ;375.00;8365.00;125.00,360.00 ;540.00;12030.00;180.00,360.00 ;540.00;12030.00;180.00,440.00 ;660.00;14645.00;220.00,
Thandikhui,01-Apr-2020          ,70.00;105.00;2305.00;35.00,110.00;165.00;3720.00;55.00,235.00 ;350.00;7795.00;115.00,255.00 ;385.00;8505.00;130.00,365.00 ;550.00;12225.00;185.00,365.00 ;550.00;12225.00;185.00,445.00 ;670.00;14880.00;225.00,31-Mar-21
Bagepalli,01-Apr-21,100.00;150.00;3290.00;50.00,160.00;240.00;5315.00;80.00,335.00 ;500.00;11135.00;165.00,365.00 ;545.00;12145.00;180.00,525.00 ;785.00;17460.00;260.00,525.00 ;785.00;17460.00;260.00,640.00 ;955.00;21255.00;320.00,
Rasoiya Dhamna,01-Apr-21,105.00;160.00;3540.00;55.00,170.00;255.00;5720.00;85.00,360.00 ;540.00;11985.00;180.00,390.00 ;590.00;13075.00;195.00,565.00 ;845.00;18795.00;280.00,565.00 ;845.00;18795.00;280.00,685.00 ;1030.00;22880.00;345.00,
Bann,01-Apr-21,140.00;215.00;4740.00;70.00,230.00;345.00;7655.00;115.00,480.00 ;720.00;16035.00;240.00,525.00 ;785.00;17495.00;260.00,755.00 ;1130.00;25150.00;375.00,755.00 ;1130.00;25150.00;375.00,920.00 ;1380.00;30615.00;460.00,
Nashri,01-Apr-21,70.00;100.00;2265.00;35.00,110.00;165.00;3660.00;55.00,230.00 ;345.00;7670.00;115.00,250.00 ;375.00;8365.00;125.00,360.00 ;540.00;12030.00;180.00,360.00 ;540.00;12030.00;180.00,440.00 ;660.00;14645.00;220.00,
Lakhanpur/ Rajbagh,01-Apr-2020          ,85.00;130.00;2850.00;45.00,140.00;205.00;4605.00;70.00,290.00 ;435.00;9650.00;145.00,315.00 ;475.00;10525.00;160.00,455.00 ;680.00;15130.00;225.00,455.00 ;680.00;15130.00;225.00,555.00 ;830.00;18420.00;275.00,01-Apr-21
Peont,01-Apr-21,65.00;100.00;2200.00;35.00,105.00;160.00;3555.00;55.00,225.00 ;335.00;7455.00;110.00,245.00 ;365.00;8130.00;120.00,350.00 ;525.00;11690.00;175.00,350.00 ;525.00;11690.00;175.00,425.00 ;640.00;14230.00;215.00,
Narwana,01-Apr-21,75.00;115.00;2530.00;40.00,125.00;185.00;4085.00;60.00,255.00 ;385.00;8555.00;130.00,280.00 ;420.00;9335.00;140.00,405.00 ;605.00;13415.00;200.00,405.00 ;605.00;13415.00;200.00,490.00 ;735.00;16335.00;245.00,
Panipat Elevated,17-Jul-20,35.00;NA;NA;15.00,50.00;NA;NA;25.00,100.00 ;NA;NA;50.00,100.00 ;NA;NA;50.00,100.00 ;NA;NA;50.00,100.00 ;NA;NA;50.00,100.00 ;NA;NA;50.00,
