plazaCode,PlazaName,Latitude,Longitude,Issue,
545006,Bhonrasa Toll Plaza,22.9751708,76.2184202,,
380001,DidarGanj,25.5721132,85.2402608,,
326002,DEORIYA,28.930637,79.475637,,
356100,Mangalgi,17.74607,77.31791,,
350100,Kamkole,17.64626,77.81997,,
312022,Bhagan Toll Plaza,29.0717431,77.0583428,,
370001,Baskopa Plaza,23.49154,87.37665,,
330002,Lasedi,28.702,75.47619,,
330003,Dhadhar,28.3458569,75.0682504,,
330004,Sobhasar,27.86505,74.75586,,
330069,Banthadi,27.2714499,74.3435503,,
330070,Tamdoli,26.8700372,74.2927598,,
314015,Badbar,30.2478174,75.6383063,,
340001,Nashik Sinner Tollways Limited,19.9119216,73.9006299,,
330073,Kota Bypass Toll Plaza,25.132814,75.796857,,
312017,Bhavdeen Plaza,29.5326385,75.2009966,,
330071,Kondar,26.5374,77.08605,,
330072,Chilla Chond,26.61309,77.51549,,
320053,Aaini Toll Plaza,27.29719,81.54375,,
314016,Lehra Begga,30.2331169,75.1002974,,
314018,Usma Toll plaza,31.40462,74.95258,,
314021,Dharer Azizpur Toll Plaza,30.59391,76.76008,,
314020,Dharari Jattan Plaza,30.391537,76.4967731,,
345003,Pagara Toll Plaza,24.5071958,77.183833,,
345004,Jogipur Toll Plaza,24.0876582,76.9824833,,
314023,Paind Toll Plaza,29.8889887,76.0993438,,
350005,Kadthal,16.9703638,78.5055706,,
312019,Main Plaza Village Jakhauli,28.917251,77.161054,,
320054,Mavikala,28.8646,77.255,,
320055,Duhai,28.73124,77.47579,,
320056,Dasana,28.6848956,77.5202959,,
320057,Beel Akbarpur,28.52094,77.59747,,
320058,Fatehpur Rampur,28.437802,77.588752,,
312020,Maujpur,28.28014,77.43873,,
312021,Chhajju Nagar,28.09956,77.36735,,
345051,Panihar,26.097748,78.0136548,,
345052,Mud Kheda,25.6814588,77.7295852,,
330075,Nimbi Jodha,27.5148856,74.3187439,,
330076,Harima,27.26246,73.84282,,
345008,Rathara,24.5369369,81.3471234,,
345009,Chorhata,24.5162,81.23131,,
379005,Lumshnong,25.169357,92.391427,,
345012,Katni Bypass Road Ltd - Entry,23.888946,80.384704,,
345013,Katni Bypass Road Ltd - Exit,23.768876,80.334978,,
7001,Manesar Toll Plaza,28.3955595,76.9797631,,
7002,IGI Toll Plaza,28.5441,77.11548,,
10002,Jojro Ka Kheda Toll Plaza,25.08296,74.62445,,
10006,Khandi Obri Toll Plaza,23.9936193,73.6256359,,
17001,Karjeevanhally Toll Plaza,13.6388022,76.9351131,,
17002,Guilalu Toll Plaza,14.0538027,76.5583296,,
360034,VANAGARAM TOLL PLAZA,13.0435462,80.1474537,,
24001,MANSAR TOLL PLAZA,23.38245,79.25338,,
24002,KAMPTEE KANHAN BYPASS CHECK TOLL PLAZA,21.244457,79.2490091,,
24003,NAGPUR BYPASS CHECK TOLL PLAZA,20.2299353,79.0131934,,
24004,BORKHEDI TOLL PLAZA,20.8560914,78.9614132,,
29001,Laxamannath Plaza,13.193545,77.64981,,
29002,Rampura Plaza,22.2407448,87.3899309,,
30001,LADPALWAN TOLL PLAZA,32.1980603,75.5315316,,
30002,WARYAM NANGAL TOLL PLAZA,31.7326793,75.0402621,,
31001,Barkheda Toll Plaza,26.6881779,75.9025328,,
31002,Sonwa Toll Plaza,26.1099102,75.7425464,,
41001,JATL Dhilwan Toll Plaza,31.4992253,75.3208145,,
41002,JATL Nijjerpura Toll Plaza,31.57789,74.997407,,
52001,Pithadiya Toll Plaza,22.082642,70.781004,,
52002,Bharudi Toll Plaza,22.0826812,70.7788205,,
352027,Kalaparru,16.6766,81.02212,,
73001,Bollapalli Toll Plaza,15.8865698,80.0686269,,
73002,Tangatur Toll Plaza,15.35832,80.03987,,
73003,Musunur Toll Plaza,14.8516773,79.9858924,,
350008,Gamjal,19.0266603,78.3605016,,
350006,Pullur,15.8877551,78.0147875,,
352041,Panchvati Colony,17.72233,83.218616,,
352042,Goshtani Gate,17.7138953,83.2099695,,
92001,Thakurtolla toll plaza,21.11804,81.12239,,
100001,Samakhiali,23.3085346,70.4884321,,
392008,Rasoiya Dhamna Toll Plaza,24.32343,85.3859009,,
392014,Pundag,23.5428314,85.5005618,,
111001,Hirebgewadi toll plaza,15.7630737,74.6456596,,
356019,Chalageri,14.5569225,75.72592,,
356020,Hebbalu,14.3756196,76.1045061,,
123001,Paliyekkara Toll plaza,10.4428898,76.2579717,,
340023,Kelapur,20.0193287,78.5380311,,
142001,Ghoti toll plaza,19.7155018,73.6232985,,
142002,Arjunalli toll plaza,19.361633,73.166023,,
314024,Chiddan Toll Plaza,31.6171821,74.6902037,,
163001,Ludhwai Toll Plaza,27.1516884,77.5831934,,
163002,Amoli Toll Plaza,27.101579,77.090962,,
360032,Nallur Toll Plaza,13.2175405,80.1669547,,
193001,Brijghat Toll Plaza,28.7671665,78.1078429,,
194001,Joya Toll Plaza,28.8361577,78.418579,,
320060,Badauri Toll Plaza,26.0653657,80.6553869,,
336018,Mokha Toll Plaza,22.9349487,69.800368,,
220004,UTHMAN,25.0337509,72.9418775,,
234002,Chagalmarri Toll Plaza,14.9795824,78.5726181,,
345044,Jungawani,22.3778488,79.1488393,,
345045,Jaitpur,22.834535,79.237797,,
243000,Rupakheda Toll Plaza,25.1105725,73.9859663,,
243001,Mujras Toll Plaza,25.2747754,74.4927949,,
312003,Chaudhariwas,28.9979626,75.6021659,,
341401,Hiwargaon pavasa,19.517733,74.201889,,
341101,Chalakwadi,19.1705954,74.0727082,,
330008,Khedi,26.1031317,74.6827686,,
330007,Lambiya Kalan,25.5871874,74.5928727,,
340002,Tamalwadi Toll Plaza,17.8522389,75.9629109,,
340003,Yedshi Toll Plaza,18.307577,75.989394,,
352032,Bhramanapalli,14.7359233,79.0492478,,
330081,Nekawala,27.242389,76.0639,,
312024,MilkMajra,30.2115381,77.1921418,,
330016,Khara Toll Plaza,28.2333145,73.3880006,,
330017,Bhadhera Toll Plaza,28.59446,73.810125,,
330018,Hindor Toll Plaza,29.101226,73.8517843,,
330019,Salasar Toll Plaza,28.00441,73.11461,,
330020,Nokhra Toll Plaza,27.6686825,72.6732992,,
330021,Kheerwa Toll Plaza,27.2836026,72.3212432,,
340004,Pargaon TP,18.6284625,75.6978936,,
340005,Padalsingi TP,19.138855,75.7468295,,
340006,Maliwadi TP,19.600875,75.614882,Not found on Google map,
330082,Limdi Toll Plaza,23.025496,74.1488257,,
320064,Jindpur Toll Plaza,25.865685,80.6883144,,
320065,Aihar Toll Plaza,26.1855974,81.0058104,,
318006,Kachkoot Toll Plaza,33.8743662,75.0410538,,
16001,Vanagiri,15.8193,76.1728377,,
16002,Shahapur,15.3578981,76.3106288,,
16003,Hitnal,15.3233982,76.3013368,,
336016,Pithai Toll Plaza,22.9128355,72.9551483,,
336017,VavadiKhurd Toll Plaza,22.79248,73.533355,,
58003,Veeracholapuram Plaza,11.736506,79.007433,,
350007,Rolmamda,19.2800625,78.4071615,,
132002,IDTL Toll Plaza-B,22.8246489,75.9361978,,
330079,Similiya,25.1699174,76.1283227,,
330080,Fatehpur,25.1217562,76.5708047,,
360030,Athur,12.3469486,79.7778362,,
177001,Pondicherry Tindivanam Toll Plaza,11.983166,79.787993,,
320067,Babina Toll Plaza,25.2169774,78.462216,,
320063,Katoghan Toll Plaza,25.749505,81.168233,,
320062,Lalanagar Toll Plaza,25.2671121,82.4883579,,
345043,Khambara Toll Plaza,21.6937181,78.3878554,,
284001,Mahant Maniyari,26.0387852,85.44519,,
375017,Hasanpur,21.14707,86.11774,,
375018,Kantaghar,21.5085474,85.8238781,,
257001,Sasthan Toll Plaza,13.4764082,74.7108906,,
280001,Murlitol,25.5899165,85.875775,found 2 related result not accurate on google map,
257003,Talapady Toll Plaza,12.7594643,74.8719425,,
257002,Hejamadi Toll Plaza,13.1082,74.78458,,
336006,Mandva Toll Plaza (Narmada Bridge),21.737424,73.093261,,
380014,Saidpur Patedha,25.803388,85.283976,,
312023,Landhari Toll Plaza,29.2923756,75.6459393,,
360048,Palaya Gandharvakottai,10.61927,79.03475,,
330084,Nimbaniyo ki Dhani,25.86589,71.631261,,
392010,Tand Balidih,23.66833,86.04467,,
360054,Shenbagampettai toll plaza,10.1587714,78.6489839,,
330078,Doli toll plaza,26.0627805,72.6711132,,
352034,Mekalavaripalli,15.6675,79.3518,Not found on Google map,
352035,Raviguntapalli,15.2253,79.4592,Google Maps can't find Raviguntapalli toll plaza,
345010,Chapra New Delhi,23.6570433,76.6148339,Not found on Google map,
345011,Rojwas,23.328892,76.170333,,
352039,Pottipadu,16.5723645,80.8603727,,
350028,Pippalwada,19.7883449,78.5538603,,
380020,Kharik,25.385735,87.0092557,,
370021,Dankuni,22.6988291,88.2867125,,
350029,Bhiknoor Toll Plaza,18.2047647,78.3962954,,
